[2026-06-19 14:44:54] CVM v2 0->299 vm=experiments/vm_max_multires/checkpoint_299.pkl (online VM299=74.05)
load task config: configs/task/train_cvm_max_multires_v2.yaml
seed: 123
load data config: configs/data/train_cvm_max_multires_cloud.yaml
load transform config: configs/transform/cvm_multires.yaml
load model config: configs/model/cvm_max.yaml
use vm_ckpt: experiments/vm_max_multires/checkpoint_299.pkl
load system config: configs/system/cvm_max_multires_v2.yaml
[Epoch 53] train_patch_loss=1.258987 | val_patch_loss=1.078836 | val_CD=0.000153 | best_CD=0.000153
[Epoch 54] train_patch_loss=1.260786 | val_patch_loss=1.223106 | val_CD=n/a | best_CD=0.000153
[Epoch 55] train_patch_loss=1.272048 | val_patch_loss=1.107771 | val_CD=0.000155 | best_CD=0.000153
[Epoch 56] train_patch_loss=1.258343 | val_patch_loss=1.215331 | val_CD=n/a | best_CD=0.000153
[Epoch 57] train_patch_loss=1.264870 | val_patch_loss=1.164604 | val_CD=0.000156 | best_CD=0.000153
[Epoch 58] train_patch_loss=1.263601 | val_patch_loss=1.153963 | val_CD=n/a | best_CD=0.000153
[Epoch 59] train_patch_loss=1.258372 | val_patch_loss=1.248742 | val_CD=0.000154 | best_CD=0.000153
[Epoch 60] train_patch_loss=1.258344 | val_patch_loss=1.234090 | val_CD=n/a | best_CD=0.000153
[Epoch 61] train_patch_loss=1.262703 | val_patch_loss=1.249195 | val_CD=0.000153 | best_CD=0.000153
[Epoch 62] train_patch_loss=1.258569 | val_patch_loss=1.312687 | val_CD=n/a | best_CD=0.000153
[Epoch 63] train_patch_loss=1.264472 | val_patch_loss=1.232573 | val_CD=0.000155 | best_CD=0.000153
[Epoch 64] train_patch_loss=1.267191 | val_patch_loss=1.280579 | val_CD=n/a | best_CD=0.000153
[Epoch 65] train_patch_loss=1.262624 | val_patch_loss=1.210938 | val_CD=0.000163 | best_CD=0.000153
[Epoch 66] train_patch_loss=1.255393 | val_patch_loss=1.202087 | val_CD=n/a | best_CD=0.000153
[Epoch 67] train_patch_loss=1.257717 | val_patch_loss=1.240769 | val_CD=0.000159 | best_CD=0.000153
[Epoch 68] train_patch_loss=1.263966 | val_patch_loss=1.208300 | val_CD=n/a | best_CD=0.000153
[Epoch 69] train_patch_loss=1.263318 | val_patch_loss=1.134734 | val_CD=0.000154 | best_CD=0.000153
[Epoch 70] train_patch_loss=1.269307 | val_patch_loss=1.163113 | val_CD=n/a | best_CD=0.000153
[Epoch 71] train_patch_loss=1.262072 | val_patch_loss=1.147713 | val_CD=0.000154 | best_CD=0.000153
[Epoch 72] train_patch_loss=1.257169 | val_patch_loss=1.193647 | val_CD=n/a | best_CD=0.000153
[Epoch 73] train_patch_loss=1.252597 | val_patch_loss=1.198457 | val_CD=0.000156 | best_CD=0.000153
[Epoch 74] train_patch_loss=1.260059 | val_patch_loss=1.241900 | val_CD=n/a | best_CD=0.000153
[Epoch 75] train_patch_loss=1.270812 | val_patch_loss=1.212080 | val_CD=0.000157 | best_CD=0.000153
[Epoch 76] train_patch_loss=1.259806 | val_patch_loss=1.293638 | val_CD=n/a | best_CD=0.000153
[Epoch 77] train_patch_loss=1.271072 | val_patch_loss=1.240271 | val_CD=0.000157 | best_CD=0.000153
[Epoch 78] train_patch_loss=1.266554 | val_patch_loss=1.159963 | val_CD=n/a | best_CD=0.000153
[Epoch 79] train_patch_loss=1.249180 | val_patch_loss=1.160248 | val_CD=0.000157 | best_CD=0.000153
[Epoch 80] train_patch_loss=1.264947 | val_patch_loss=1.264015 | val_CD=n/a | best_CD=0.000153
[Epoch 81] train_patch_loss=1.254573 | val_patch_loss=1.317585 | val_CD=0.000153 | best_CD=0.000153
[Epoch 82] train_patch_loss=1.263247 | val_patch_loss=1.231671 | val_CD=n/a | best_CD=0.000153
[Epoch 83] train_patch_loss=1.263799 | val_patch_loss=1.239270 | val_CD=0.000154 | best_CD=0.000153
[Epoch 84] train_patch_loss=1.263630 | val_patch_loss=1.200579 | val_CD=n/a | best_CD=0.000153
[Epoch 85] train_patch_loss=1.256504 | val_patch_loss=1.242323 | val_CD=0.000153 | best_CD=0.000153
[Epoch 86] train_patch_loss=1.262066 | val_patch_loss=1.284939 | val_CD=n/a | best_CD=0.000153
[Epoch 87] train_patch_loss=1.264114 | val_patch_loss=1.165736 | val_CD=0.000154 | best_CD=0.000153
[Epoch 88] train_patch_loss=1.261068 | val_patch_loss=1.303067 | val_CD=n/a | best_CD=0.000153
[Epoch 89] train_patch_loss=1.265035 | val_patch_loss=1.177668 | val_CD=0.000160 | best_CD=0.000153
[Epoch 90] train_patch_loss=1.258454 | val_patch_loss=1.220293 | val_CD=n/a | best_CD=0.000153
[Epoch 91] train_patch_loss=1.253780 | val_patch_loss=1.231887 | val_CD=0.000153 | best_CD=0.000153
[Epoch 92] train_patch_loss=1.260979 | val_patch_loss=1.142346 | val_CD=n/a | best_CD=0.000153
[Epoch 93] train_patch_loss=1.270203 | val_patch_loss=1.250558 | val_CD=0.000152 | best_CD=0.000152
[Epoch 94] train_patch_loss=1.255780 | val_patch_loss=1.189327 | val_CD=n/a | best_CD=0.000152
[Epoch 95] train_patch_loss=1.255903 | val_patch_loss=1.145980 | val_CD=0.000162 | best_CD=0.000152
[Epoch 96] train_patch_loss=1.256885 | val_patch_loss=1.223444 | val_CD=n/a | best_CD=0.000152
[Epoch 97] train_patch_loss=1.255975 | val_patch_loss=1.221285 | val_CD=0.000149 | best_CD=0.000149
[Epoch 98] train_patch_loss=1.256916 | val_patch_loss=1.251017 | val_CD=n/a | best_CD=0.000149
[Epoch 99] train_patch_loss=1.247180 | val_patch_loss=1.178797 | val_CD=0.000160 | best_CD=0.000149
[Epoch 100] train_patch_loss=1.255216 | val_patch_loss=1.179376 | val_CD=n/a | best_CD=0.000149
[Epoch 101] train_patch_loss=1.268067 | val_patch_loss=1.209994 | val_CD=0.000159 | best_CD=0.000149
[Epoch 102] train_patch_loss=1.263661 | val_patch_loss=1.199579 | val_CD=n/a | best_CD=0.000149
[Epoch 103] train_patch_loss=1.260889 | val_patch_loss=1.252915 | val_CD=0.000158 | best_CD=0.000149
[Epoch 104] train_patch_loss=1.263125 | val_patch_loss=1.196215 | val_CD=n/a | best_CD=0.000149
[Epoch 105] train_patch_loss=1.259192 | val_patch_loss=1.185575 | val_CD=0.000153 | best_CD=0.000149
[Epoch 106] train_patch_loss=1.260485 | val_patch_loss=1.229584 | val_CD=n/a | best_CD=0.000149
[Epoch 107] train_patch_loss=1.251877 | val_patch_loss=1.236956 | val_CD=0.000157 | best_CD=0.000149
[Epoch 108] train_patch_loss=1.254769 | val_patch_loss=1.260672 | val_CD=n/a | best_CD=0.000149
[Epoch 109] train_patch_loss=1.252534 | val_patch_loss=1.241549 | val_CD=0.000157 | best_CD=0.000149
[Epoch 110] train_patch_loss=1.245327 | val_patch_loss=1.235745 | val_CD=n/a | best_CD=0.000149
[Epoch 111] train_patch_loss=1.255773 | val_patch_loss=1.184916 | val_CD=0.000158 | best_CD=0.000149
[Epoch 112] train_patch_loss=1.263885 | val_patch_loss=1.145239 | val_CD=n/a | best_CD=0.000149
[Epoch 113] train_patch_loss=1.259664 | val_patch_loss=1.244646 | val_CD=0.000155 | best_CD=0.000149
[Epoch 114] train_patch_loss=1.244133 | val_patch_loss=1.103964 | val_CD=n/a | best_CD=0.000149
[Epoch 115] train_patch_loss=1.246730 | val_patch_loss=1.156696 | val_CD=0.000159 | best_CD=0.000149
[Epoch 116] train_patch_loss=1.253964 | val_patch_loss=1.199525 | val_CD=n/a | best_CD=0.000149
[Epoch 117] train_patch_loss=1.256293 | val_patch_loss=1.289232 | val_CD=0.000157 | best_CD=0.000149
[Epoch 118] train_patch_loss=1.256566 | val_patch_loss=1.149951 | val_CD=n/a | best_CD=0.000149
[Epoch 119] train_patch_loss=1.253961 | val_patch_loss=1.242954 | val_CD=0.000155 | best_CD=0.000149
[Epoch 120] train_patch_loss=1.255000 | val_patch_loss=1.187646 | val_CD=n/a | best_CD=0.000149
[Epoch 121] train_patch_loss=1.257326 | val_patch_loss=1.197213 | val_CD=0.000161 | best_CD=0.000149
[Epoch 122] train_patch_loss=1.253428 | val_patch_loss=1.311860 | val_CD=n/a | best_CD=0.000149
[Epoch 123] train_patch_loss=1.240855 | val_patch_loss=1.191152 | val_CD=0.000154 | best_CD=0.000149
[Epoch 124] train_patch_loss=1.253331 | val_patch_loss=1.229604 | val_CD=n/a | best_CD=0.000149
[Epoch 125] train_patch_loss=1.260202 | val_patch_loss=1.278664 | val_CD=0.000154 | best_CD=0.000149
[Epoch 126] train_patch_loss=1.249742 | val_patch_loss=1.213839 | val_CD=n/a | best_CD=0.000149
[Epoch 127] train_patch_loss=1.263903 | val_patch_loss=1.304327 | val_CD=0.000151 | best_CD=0.000149
[Epoch 128] train_patch_loss=1.248205 | val_patch_loss=1.135835 | val_CD=n/a | best_CD=0.000149
[Epoch 129] train_patch_loss=1.254086 | val_patch_loss=1.224951 | val_CD=0.000158 | best_CD=0.000149
[Epoch 130] train_patch_loss=1.252824 | val_patch_loss=1.089473 | val_CD=n/a | best_CD=0.000149
